Marca temporal,Consentimiento informado,Indica tu rango de edad ,Cuál es tu genero,Semestre en el que te encuentras actualmente,Carrera o programa académico,¿Has pensado en abandonar la universidad en algún momento?,"Si respondiste “sí” en la anterior, ¿Cuál fue la razón principal?",¿Cuentas con algún tipo de beca o apoyo institucional?,¿Cómo calificas tu nivel de estrés relacionado con los estudios?,¿Has sentido síntomas de ansiedad o depresión durante tu vida universitaria?,¿La calidad de los docentes ha influido en tu motivación para continuar estudiando?,"¿Has tenido dificultades con procesos administrativos (inscripciones, becas, trámites)?",¿Consideras que el transporte hacia la universidad es un factor que afecta tu permanencia?,"¿Recibes apoyo académico (tutorías, asesorías, acompañamiento)?",¿Tu familia apoya tu decisión de continuar en la universidad?,¿Qué tan satisfecho estás con tu experiencia universitaria actual?,¿Cómo calificas tu nivel de motivación para continuar y terminar tu carrera?,¿Conoces a algún compañero/a que haya abandonado la universidad?,"Si respondiste “sí”, ¿Cuál fue la razón principal por la que abandonó?",¿Consideras que la universidad ofrece suficiente apoyo para evitar el abandono?,¿Qué tipo de apoyo crees que evitaría el abandono escolar en la universidad?,¿Qué sugerencias darías para reducir el abandono escolar en tu salón o en la universidad?
26/9/2025 18:11:48,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Masculino,3°,Licenciatura en Psicología,Nunca,,No cuento con apoyo,Alto,"Sí, algunas veces",Neutro,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Muy alta,Sí,Académica,Parcialmente,Becas o apoyos económicos,Mayor apertura en trámites y servicios escolares 
23/9/2025 19:21:23,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Relaciones Internacionales,Nunca,,No cuento con apoyo,Moderado,"Sí, algunas veces",Muy positivamente,"No, ninguna",No afecta,No recibo apoyo,"Sí, en parte",Muy satisfecho,Muy alta,Sí,Problemas con la universidad,Sí,Apoyo psicológico/emocional,Tener apoyos psicológicos y algunas actividades dentro de la escuela para evitar estrés y una mala decisión de abandono escolar 
23/9/2025 19:27:28,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,3°,Licenciatura en Contaduría y Finanzas,Muy frecuentemente,Salud física o mental,No cuento con apoyo,Moderado,"Sí, frecuentemente",Positivamente,"No, ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Moderada,Sí,Económica,Sí,Becas o apoyos económicos,Creo que el plan académico es bueno.
23/9/2025 19:28:17,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,1°,Licenciatura en Derecho y Criminología,Nunca,,No cuento con apoyo,Moderado,No,Positivamente,"No, ninguna","Sí, afecta un poco","Sí, de manera ocasional","Sí, totalmente",Satisfecho,Moderada,No estoy seguro,,Sí,Apoyo psicológico/emocional,Creo que arreglar las fallas que hay en la plataforma a distancia
23/9/2025 19:28:29,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,6°,Licenciatura en Administración y Comercio,Algunas veces,Dificultades económicas,No cuento con apoyo,Alto,"Sí, algunas veces",Negativamente,Prefiero no contestar,No afecta,"Sí, de manera constante","No, en general no",Satisfecho,Moderada,Sí,Económica,Parcialmente,Becas o apoyos económicos,"Mejoramiento de la parte administrativa de la escuela. Por ejemplo, es muy deficiente el servicio de mesa de ayuda"
24/9/2025 17:37:16,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Masculino,2°,Licenciatura en Ciencias de Datos para Negocios,Nunca,,No cuento con apoyo,Alto,"Sí, algunas veces",Neutro,"No, casi ninguna","Sí, afecta mucho",No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Cuestiones laborales y la falta de flexibilidad en el horario asignado,No,Becas o apoyos económicos,"Enfocarse en los procesos administrativos relacionados al seguro facultativo para aquellos que no cuentan con un seguro médico, ofrecer credenciales educativas certificadas por la SEP para mayor acceso a servicios (como movilidad en transporte público, bibliotecas e instituciones educativas como museos) y ofrecer una evaluación más flexible con compañeros que tengan actividades laborales."
23/9/2025 19:43:03,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,8°,Licenciatura en Contaduría y Finanzas,Algunas veces,Dificultades económicas,No cuento con apoyo,Alto,"Sí, frecuentemente",Positivamente,"Sí, algunas dificultades",No afecta,"Sí, de manera constante","Sí, totalmente",Satisfecho,Alta,Sí,Económica,No,Becas o apoyos económicos,"Los trámites administrativos también influyen mucho, la parte del historial académico y la respuesta del área correspondiente hasta que den solución rápida a plataforma para los que estamos en línea. "
23/9/2025 19:45:40,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,1°,Licenciatura en Derecho y Criminología,Pocas veces,Otra,No cuento con apoyo,Moderado,Prefiero no contestar,Positivamente,"No, casi ninguna",No afecta,"Sí, de manera ocasional","Sí, totalmente",Muy satisfecho,Moderada,Sí,Falta de motivación e interés en la materia,Parcialmente,Becas o apoyos económicos,Brindar más apoyos económicos
23/9/2025 19:47:53,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,1°,Licenciatura en Tecnologías de Información y Comunicación,Pocas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Bajo,No,Positivamente,"Sí, algunas dificultades","Sí, afecta un poco","Sí, de manera ocasional","Sí, en parte",Satisfecho,Alta,No,,No,Becas o apoyos económicos,El apoyo económico 
23/9/2025 18:58:27,Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.,23–25 años,Femenino,3°,Licenciatura en Relaciones Internacionales,Muy frecuentemente,Dificultades económicas,"Sí, apoyo en especie (alimentación, transporte, materiales)",Muy alto,"Sí, frecuentemente",Neutro,"No, casi ninguna","Sí, afecta mucho",No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Económica,No,Becas o apoyos económicos,Que haya más apoyos en cuestión de becas 
23/9/2025 19:52:14,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,1°,Licenciatura en Derecho y Seguridad Ciudadana,Algunas veces,Otra,No cuento con apoyo,Muy alto,"Sí, frecuentemente",Positivamente,"No, ninguna","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Poco satisfecho,Baja,No estoy seguro,Problemas con la universidad,No,Tutorías académicas,"A distancia híbrida no hay maestros hay muchos problemas con la plataforma y no hay clases en línea, y la plataforma no es clara es difícil subir archivos y hay q estar pagando programas y es difícil cuando se trabaja con otros equipos como teléfono o tablet "
23/9/2025 20:04:13,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Femenino,1°,Licenciatura en Psicología,Algunas veces,Salud física o mental,No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"No, casi ninguna","Sí, afecta mucho","Sí, de manera ocasional","Sí, totalmente",Satisfecho,Alta,Sí,Falta de motivación e interés en la materia,Parcialmente,Orientación vocacional,Prestar  atención a las necesidades de los compañeros ya que algunos decertan por haberles tocado un horario que interfiere con su trabajo y tal vez brindar algunas opciones de transportes en el momento me encuentro en una situación donde no puedo subir mucho escaleras y tengo que estar en bastante reposo no puedo ir parada en los vamiones sin embargo me toca arriesgarme 
23/9/2025 20:13:57,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Masculino,3°,Licenciatura en Derecho y Criminología,Algunas veces,Falta de motivación / interés,"Sí, apoyo en especie (alimentación, transporte, materiales)",Moderado,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Muy satisfecho,Moderada,Sí,Falta de motivación e interés en la materia,Sí,Flexibilidad de horarios,"Apoyó social, ayuda por compañero y docente "
23/9/2025 20:15:25,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,3°,Licenciatura en Derecho y Criminología,Muy frecuentemente,Salud física o mental,No cuento con apoyo,Muy alto,"Sí, algunas veces",Muy negativamente,"Sí, algunas dificultades",No afecta,No recibo apoyo,Prefiero no contestar,Satisfecho,Muy baja,Sí,Salud física o mental,No,Becas o apoyos económicos,Que los profesores sean más empáticos 
23/9/2025 20:25:07,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,1°,Licenciatura en Relaciones Internacionales,Pocas veces,Dificultades económicas,No cuento con apoyo,Moderado,No,Muy positivamente,"No, ninguna","Sí, afecta mucho",No recibo apoyo,"Sí, en parte",Muy satisfecho,Alta,Sí,Económica,Sí,Orientación vocacional,"Nunca abandones tus sueños, nadie lo hará por ti "
23/9/2025 20:25:33,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,1°,Licenciatura en Desarrollo Comunitario para Zonas Metropolitanas,Pocas veces,Dificultades económicas,No cuento con apoyo,Bajo,No,Positivamente,"No, ninguna","Sí, afecta un poco","Sí, de manera ocasional","Sí, totalmente",Satisfecho,Alta,No,,Parcialmente,Becas o apoyos económicos,"Mayor gestión de programas , en mi caso para el Estado de México y que sean a quien de verdad lo necesite y difusión "
23/9/2025 20:26:00,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",17–19 años,Masculino,5°,Licenciatura en Psicología,Pocas veces,Falta de motivación / interés,"Sí, apoyo en especie (alimentación, transporte, materiales)",Moderado,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, en parte",Satisfecho,Moderada,Sí,Falta de motivación e interés en la materia,Parcialmente,Orientación vocacional,En algunas ocasiones los profesores entienden si tienes algún problema y se los puedes comunicar pero la mayoría le da igual es como si ellos nunca hubiera entendido una situación difícil así que mi recomendación es que sean más flexibles 
23/9/2025 19:21:15,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,23–25 años,Femenino,3°,Licenciatura en Contaduría y Finanzas,Algunas veces,Falta de motivación / interés,No cuento con apoyo,Moderado,No,Neutro,"Sí, muchas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Económica,No,Becas o apoyos económicos,Beca Jovenes escribiendo el futuro 
23/9/2025 20:46:38,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Masculino,8°,Licenciatura en Derecho y Criminología,Pocas veces,Dificultades económicas,No cuento con apoyo,Bajo,No,Positivamente,"No, casi ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,No,,Sí,Recursamiento,Más apoyo psicológico y un programa de becas considerando a los alumnos en línea también 
23/9/2025 20:49:35,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,1°,Licenciatura en Ciencias de la Comunicación,Muy frecuentemente,Dificultades económicas,No cuento con apoyo,Muy alto,"Sí, frecuentemente",Negativamente,"No, ninguna","Sí, afecta un poco",No recibo apoyo,"Sí, en parte",Poco satisfecho,Moderada,Sí,"Economía ,trabajo y horarios ",No,Flexibilidad de horarios,Más apoyo a los que trabajan o oportunidades diferentes a los que tenemos peques y rentamos 
23/9/2025 19:35:20,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,1°,Licenciatura en Contaduría y Finanzas,Nunca,,No cuento con apoyo,Bajo,"Sí, algunas veces",Neutro,"No, ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Muy alta,Sí,Económica,Parcialmente,Flexibilidad de horarios,Apoyo academico y que los horarios sean flexibles 
23/9/2025 21:08:12,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,25 - 29 años,Masculino,1°,Licenciatura en Relaciones Internacionales,Pocas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"No, casi ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Poco satisfecho,Alta,No estoy seguro,Salud física o mental,Parcialmente,Orientación vocacional,Mejora de de trámites y comunicación 
23/9/2025 20:50:47,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,1°,Licenciatura en Psicología,Algunas veces,Problemas académicos,No cuento con apoyo,Moderado,"Sí, algunas veces",Neutro,"No, ninguna",No afecta,"Sí, de manera constante","Sí, totalmente",Satisfecho,Alta,Sí,Económica,Sí,Flexibilidad de horarios,Que se explicará con exactitud cómo funcionan las plataformas por qué aunque se vea sencillo en dos semanas es imposible conocerlo al cien por ciento y muchos alumnos llevan años sin estudiar y a veces algunos docentes no entienden eso 
23/9/2025 21:25:31,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,7°,Licenciatura en Psicología,Algunas veces,Falta de motivación / interés,"Sí, apoyo en especie (alimentación, transporte, materiales)",Moderado,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","No, en general no",Satisfecho,Baja,Sí,Falta de motivación e interés en la materia,Parcialmente,Orientación vocacional,Brindar un acompañamiento adecuado en las formas del aprendizaje y en lo emocional 
23/9/2025 21:09:06,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,20–22 años,Femenino,3°,Licenciatura en Relaciones Internacionales,Algunas veces,Dificultades económicas,No cuento con apoyo,Alto,"Sí, frecuentemente",Neutro,"Sí, algunas dificultades","Sí, afecta mucho",No recibo apoyo,"No, en general no",Poco satisfecho,Baja,Sí,Económica,No,Becas o apoyos económicos,"Los horarios, organizarlos mejor y los apoyos a estudiantes con situaciones económicas precarias o que trabajen simultáneamente "
23/9/2025 22:27:58,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,7°,Licenciatura en Ciencias de Datos para Negocios,Pocas veces,Salud física o mental,"Sí, beca económica completa",Alto,"Sí, algunas veces",Neutro,"No, casi ninguna","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,Sí,Económica,No,Becas o apoyos económicos,La mayoría se sale por el trabajo 
23/9/2025 21:39:42,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Femenino,3°,Licenciatura en Ciencias de Datos para Negocios,Pocas veces,Falta de motivación / interés,"Sí, apoyo en especie (alimentación, transporte, materiales)",Muy bajo,No,Negativamente,"No, casi ninguna",No afecta,"Sí, de manera ocasional",Prefiero no contestar,Nada satisfecho,Muy alta,No estoy seguro,Familiar,Parcialmente,Tutorías académicas,Noce Noce 
24/9/2025 14:58:50,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,6°,Licenciatura en Mercadotecnia y Ventas,Pocas veces,Salud física o mental,No cuento con apoyo,Moderado,"Sí, frecuentemente",Neutro,"No, ninguna",No afecta,"Sí, de manera constante","No, en general no",Nada satisfecho,Moderada,Sí,Económica,Sí,Apoyo psicológico/emocional,"Creo que ni caso es particular. Ya que fui diagnosticada con ansiedad severa debido a la discordia premenstrual que padezco. En los últimos tres años se disparó gravemente, afectando de manera aguda mi capacidad de concentración. En lo particular la atención médica es indispensable y en mi caso no contaba con servicio médico. Soy jefa de familia y soy el único sostén de mi hija. Este estado se salud afecto mi economía tanto que a veces preferria comprar mis medicamentos que pagar el internet. Las enfermedades en general afectan el estado económicos y se dispara una espiral de inestabilidad en todos los aspectos de la vida cotidiana. La atención a la salud en indispensable y debe ser prioridad. Hice un esfuerzo pero el tiempo me gano. La escuela es lo mejor que me ha pasado. En la actualidad ya estoy controlada y mucho mejor pero repito el tiempo me gano. La tención a la salud, el apoyo económico y el tiempo ya que la mayoría trabajas y estudiamos. "
26/9/2025 17:13:11,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,17–19 años,Femenino,1°,Licenciatura en Psicología,Muy frecuentemente,Dificultades económicas,No cuento con apoyo,Moderado,"Sí, algunas veces",Neutro,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Poco satisfecho,Moderada,Sí,Económica,No,Becas o apoyos económicos,Que dieran mas apoyos a universidades y no a primarias y secundarias que ya tienen 
23/9/2025 21:59:30,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,7°,Licenciatura en Derecho y Criminología,Pocas veces,Salud física o mental,No cuento con apoyo,Moderado,"Sí, algunas veces",Negativamente,"No, ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,Sí,Salud física o mental,No,Apoyo psicológico/emocional,Tutorías 
26/9/2025 17:55:41,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Psicología,Algunas veces,Dificultades económicas,No cuento con apoyo,Muy alto,"Sí, frecuentemente",Neutro,"Sí, muchas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Muy alta,Sí,Económica,No,Becas o apoyos económicos,"La falta de apoyo económico en el sistema abierto, hace que las personas inscritas abandonen la carrera, porque deben trabajar"
28/9/2025 11:22:41,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Contaduría y Finanzas,Muy frecuentemente,Dificultades económicas,No cuento con apoyo,Alto,"Sí, frecuentemente",Neutro,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Moderada,Sí,Económica,Parcialmente,Becas o apoyos económicos,Debe haber apoyo psicológico por parte de los docentes y que tengamos más oportunidades de poder acceder apoyos económicos para poder tener un poco más de posibilidades en el trabajo y tener tiempo para la escuela también.
23/9/2025 22:29:14,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,5°,Licenciatura en Ciencias de Datos para Negocios,Muy frecuentemente,Salud física o mental,"Sí, apoyo en especie (alimentación, transporte, materiales)",Bajo,"Sí, frecuentemente",Positivamente,"No, ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Moderada,Sí,Paternidad o matrimonio,No,Apoyo psicológico/emocional,"Fomentar la escucha a la comunidad estudiantil, muchas veces no son flexibles para algunas situaciones que salen del control de los alumnos y envez de proponer soluciones, solo se cierran a los ""procesos"""
23/9/2025 22:30:27,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Masculino,8°,Licenciatura en Derecho y Criminología,Algunas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Bajo,No,Muy positivamente,"Sí, muchas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Problemas con la universidad,No,Becas o apoyos económicos,"En lo personal la idea de abandono ha surgido en ocasiones por la falta de empatía por las autoridades, la tardanza en poder realizar trámites, el que la información y los servicios no estén abiertos a la comunidad estudiantil, es decir demasiado nepotismo."
23/9/2025 22:30:55,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",17–19 años,Masculino,5°,Licenciatura en Psicología,Nunca,,"Sí, apoyo en especie (alimentación, transporte, materiales)",Alto,"Sí, algunas veces",Muy positivamente,"No, ninguna","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Muy satisfecho,Alta,No,,No,Orientación vocacional,Antes de entrar a cualquier carrera tomar orientación vocacional 
